ID,CountryId,Name
1,1,Adana
2,1,Adıyaman
3,1,Afyonkarahisar
4,1,Ağrı
5,1,Amasya
6,1,Ankara
7,1,Antalya
8,1,Artvin
9,1,Aydın
10,1,Balıkesir
11,1,Bilecik
12,1,Bingöl
13,1,Bitlis
14,1,Bolu
15,1,Burdur
16,1,Bursa
17,1,Çanakkale
18,1,Çankırı
19,1,Çorum
20,1,Denizli
21,1,Diyarbakır
22,1,Edirne
23,1,Elazığ
24,1,Erzincan
25,1,Erzurum
26,1,Eskişehir
27,1,Gaziantep
28,1,Giresun
29,1,Gümüşhane
30,1,Hakkari
31,1,Hatay
32,1,Isparta
33,1,Mersin
34,1,İstanbul
35,1,İzmir
36,1,Kars
37,1,Kastamonu
38,1,Kayseri
39,1,Kırklareli
40,1,Kırşehir
41,1,Kocaeli
42,1,Konya
43,1,Kütahya
44,1,Malatya
45,1,Manisa
46,1,Kahramanmaraş
47,1,Mardin
48,1,Muğla
49,1,Muş
50,1,Nevşehir
51,1,Niğde
52,1,Ordu
53,1,Rize
54,1,Sakarya
55,1,Samsun
56,1,Siirt
57,1,Sinop
58,1,Sivas
59,1,Tekirdağ
60,1,Tokat
61,1,Trabzon
62,1,Tunceli
63,1,Şanlıurfa
64,1,Uşak
65,1,Van
66,1,Yozgat
67,1,Zonguldak
68,1,Aksaray
69,1,Bayburt
70,1,Karaman
71,1,Kırıkkale
72,1,Batman
73,1,Şırnak
74,1,Bartın
75,1,Ardahan
76,1,Iğdır
77,1,Yalova
78,1,Karabük
79,1,Kilis
80,1,Osmaniye
81,1,Düzce